device,num_workers,epochs,fit_time_s,graph_time_s,train_time_s,n_samples,n_features
cuda,0,1,56.487,3.091,53.396,70000,784
cuda,1,1,70.417,2.87,67.547,70000,784
cuda,2,1,34.231,3.111,31.119,70000,784
cuda,4,1,20.907,2.848,18.059,70000,784
cuda,8,1,17.736,2.805,14.931,70000,784
cuda,12,1,19.654,2.752,16.902,70000,784
