device,encoder,n_params,epochs,batch_size,num_workers,fit_time_s,graph_time_s,train_time_s,n_samples,n_features,num_edges
cuda,133K,133635,1,10000,8,16.457,2.749,13.708,70000,784,1451118
cuda,463K,464389,1,10000,8,17.904,2.689,15.214,70000,784,1451118
cuda,2M,1978375,1,10000,8,26.357,2.63,23.726,70000,784,1451118
cuda,5M,5003269,1,10000,8,40.417,2.71,37.707,70000,784,1451118
cuda,18M,18395141,1,10000,8,102.419,2.672,99.747,70000,784,1451118
