device,num_workers,epochs,fit_time_s,graph_time_s,train_time_s,n_samples,n_features
cuda,0,1,42.695,1.993,40.702,70000,784
cuda,1,1,57.054,1.628,55.426,70000,784
cuda,2,1,28.819,1.678,27.142,70000,784
cuda,4,1,17.721,1.762,15.959,70000,784
cuda,8,1,18.639,1.743,16.896,70000,784
cuda,12,1,18.029,1.921,16.108,70000,784
