device,encoder,n_params,epochs,batch_size,num_workers,fit_time_s,graph_time_s,train_time_s,n_samples,n_features,num_edges
cuda,133K,133635,1,10000,8,12.636,1.706,10.931,70000,784,1451118
cuda,463K,464389,1,10000,8,12.857,1.649,11.208,70000,784,1451118
cuda,2M,1978375,1,10000,8,14.165,1.559,12.606,70000,784,1451118
cuda,5M,5003269,1,10000,8,16.347,1.753,14.594,70000,784,1451118
cuda,18M,18395141,1,10000,8,20.096,1.52,18.577,70000,784,1451118
