device,num_workers,epochs,fit_time_s,graph_time_s,train_time_s,n_samples,n_features
mps,0,1,19.933,2.019,17.913,70000,784
mps,1,1,19.306,1.994,17.312,70000,784
mps,2,1,17.479,1.99,15.489,70000,784
mps,4,1,21.15,2.019,19.131,70000,784
mps,8,1,31.9,2.062,29.838,70000,784
mps,12,1,46.536,1.984,44.553,70000,784
cpu,0,1,24.137,2.231,21.906,70000,784
cpu,1,1,19.573,1.983,17.591,70000,784
cpu,2,1,20.216,2.058,18.158,70000,784
cpu,4,1,26.984,2.027,24.957,70000,784
cpu,8,1,38.695,2.025,36.67,70000,784
cpu,12,1,53.16,2.043,51.117,70000,784
