n_samples,n_features,ok,exit_code,elapsed_s,peak_rss_bytes,external_peak_rss_bytes,num_edges,input_bytes
10000,16,True,0,6.106207750039175,771899392,810483712,215446,640000
10000,64,True,0,5.902076833997853,782090240,819527680,227212,2560000
10000,256,True,0,6.021410874905996,834502656,862715904,232592,10240000
10000,1024,True,0,6.027234915993176,994541568,1016578048,235518,40960000
30000,16,True,0,6.177306417026557,938622976,970129408,657382,1920000
30000,64,True,0,6.50010308297351,1005977600,1036992512,708304,7680000
30000,256,True,0,6.62721666705329,1153925120,1188249600,729374,30720000
30000,1024,True,0,7.167857417021878,1662468096,1685766144,741530,122880000
100000,16,True,0,6.855396334081888,1306148864,1335328768,2209232,6400000
100000,64,True,0,7.313088083988987,1390428160,1439744000,2419152,25600000
100000,256,True,0,7.719055624911562,1969471488,2049933312,2518542,102400000
100000,1024,True,0,10.288786666933447,3126231040,3195584512,2570654,409600000
300000,16,True,0,10.40364525001496,2667839488,2696560640,6642546,19200000
300000,64,True,0,10.580926249967888,3040395264,3071787008,7404220,76800000
300000,256,True,0,13.798658958054148,4687052800,4707680256,7789798,307200000
300000,1024,True,0,24.029843166004866,9857515520,9878257664,7938644,1228800000
1000000,16,True,0,22.181438459083438,9043230720,9063743488,22148506,64000000
1000000,64,True,0,29.485289125004783,10825826304,10846961664,25109072,256000000
1000000,256,True,0,42.63223729096353,13812760576,13851623424,26507378,1024000000
1000000,1024,True,0,106.18698612507433,16587997184,16593420288,26981468,4096000000
3000000,16,True,0,58.88210233300924,19246170112,19226820608,66207788,192000000
3000000,64,True,0,89.22935512498952,17827545088,17858953216,76346026,768000000
3000000,256,False,-9,,,14953299968,,
3000000,1024,False,-9,,,25747636224,,
10000000,16,True,0,218.16390225000214,22208806912,22218178560,219240362,640000000
10000000,64,False,-9,,,24240324608,,
10000000,256,False,-9,,,28914909184,,
10000000,1024,False,-9,,,27424686080,,
